word,part_of_speech,meaning,example
thăng tiến,động từ,"tiến bộ về chuyên môn, về cấp bậc, địa vị,… trong nghề nghiệp, nói chung: có cơ hội thăng tiến * đường công danh đang thăng tiến",có cơ hội thăng tiến * đường công danh đang thăng tiến
thẳng tính,tính từ,"có tính thẳng thắn, hay nói thẳng: một người rất thẳng tính",một người rất thẳng tính
thắt lưng,danh từ,vùng giữa lưng và mông của cơ thể người: bị đau ở thắt lưng,bị đau ở thắt lưng
thắt lưng,danh từ,"dải vải, da hay nhựa dùng thắt ngang lưng để giữ quần áo: thắt lưng da",thắt lưng da
thẫm,tính từ,như sẫm: đỏ thẫm * tím thẫm,đỏ thẫm * tím thẫm
thâm,động từ,(tiêu) lạm vào một khoản tiền khác: tiêu thâm cả vào vốn,tiêu thâm cả vào vốn
thâm,tính từ,(vật có chất liệu mềm) có màu sẫm đen hoặc ngả về màu sẫm đen: vải thâm * mắt có quầng thâm * môi thâm,vải thâm * mắt có quầng thâm * môi thâm
thâm,tính từ,"(Văn chương) sâu (chỉ dùng với nghĩa bóng): ""Sông sâu nước chảy đá mòn, Tình thâm mong trả, nghĩa tròn đấy đây."" (Cdao)","""Sông sâu nước chảy đá mòn, Tình thâm mong trả, nghĩa tròn đấy đây."" (Cdao)"
thâm,tính từ,sâu độc và kín đáo: mưu thâm * ông ta thâm lắm!,mưu thâm * ông ta thâm lắm!
thắt đáy lưng ong,,"(thân hình phụ nữ) thon đẹp, eo nhỏ và thắt lại trông như lưng con ong: ""Những người thắt đáy lưng ong, Vừa khéo chiều chồng, lại khéo nuôi con."" (ca dao)","""Những người thắt đáy lưng ong, Vừa khéo chiều chồng, lại khéo nuôi con."" (ca dao)"
thắt ngặt,tính từ,"(phương ngữ) khó khăn, ngặt nghèo: hoàn cảnh thắt ngặt",hoàn cảnh thắt ngặt
thắt nút,động từ,bắt đầu hoặc làm cho bắt đầu hình thành sự xung đột có kịch tính: đoạn thắt nút của vở kịch,đoạn thắt nút của vở kịch
thầm,tính từ,"(tiếng nói phát ra) rất khẽ, như không để cho người ngoài nghe thấy: ghé tai nói thầm * hát thầm",ghé tai nói thầm * hát thầm
thầm,tính từ,"kín đáo, không biểu lộ ra ngoài, không muốn để cho người ngoài biết: mừng thầm * thầm yêu trộm nhớ * nghĩ thầm trong bụng",mừng thầm * thầm yêu trộm nhớ * nghĩ thầm trong bụng
thầm,tính từ,"(khẩu ngữ) (làm việc gì) ở trong tình trạng không nhìn thấy gì cả, vì xung quanh là bóng tối, không có ánh sáng: xe tắt đèn, chạy thầm trong đêm","xe tắt đèn, chạy thầm trong đêm"
thắt lưng buộc bụng,,"hết sức hạn chế, tiết kiệm trong tiêu dùng để trang trải, dành dụm trong hoàn cảnh khó khăn: thắt lưng buộc bụng để lo trả nợ",thắt lưng buộc bụng để lo trả nợ
thấm,động từ,(chất lỏng) bị hút vào trong một môi trường xốp hoặc qua một màng mỏng: mưa thấm đất * mồ hôi thấm áo,mưa thấm đất * mồ hôi thấm áo
thấm,động từ,"làm cho chất lỏng thấm vào và bị hút khô đi: lấy bông thấm máu * vải nhiều nylon, không thấm mồ hôi","lấy bông thấm máu * vải nhiều nylon, không thấm mồ hôi"
thấm,động từ,"cảm giác hoặc ý thức được một cách đầy đủ, sâu sắc, sau một quá trình chịu tác dụng hoặc tác động dần dần: thấm đòn * người đã thấm mệt * lời nói như thấm vào lòng",thấm đòn * người đã thấm mệt * lời nói như thấm vào lòng
thấm,động từ,"(khẩu ngữ) có tác dụng, có ảnh hưởng đáng kể: tưởng nhiều chứ chừng ấy thì thấm gì!",tưởng nhiều chứ chừng ấy thì thấm gì!
thậm,phụ từ,"(cũ, hoặc kng) rất, hết sức: thậm ghét cái tính tắt mắt * ông cụ thậm hiền lành",thậm ghét cái tính tắt mắt * ông cụ thậm hiền lành
thẩm,động từ,(toà án) xét kĩ các vấn đề liên quan đến một vụ án: thẩm lại vụ án,thẩm lại vụ án
thẩm,động từ,(hiếm),nước thẩm qua đáy bể
thẩm âm,động từ,(hiếm) (khả năng) cảm thụ âm thanh: thẩm âm tốt * khiếu thẩm âm,thẩm âm tốt * khiếu thẩm âm
thậm chí,phụ từ,"từ biểu thị mức bao gồm cả những trường hợp không bình thường, nêu ra để nhấn mạnh làm nổi bật một điều nào đó: đã không giúp được gì, thậm chí còn phá","đã không giúp được gì, thậm chí còn phá"
thâm canh,động từ,"(phương thức canh tác) tập trung chủ yếu vào việc áp dụng khoa học kĩ thuật, đầu tư thêm tư liệu sản xuất và lao động trên một đơn vị diện tích không mở rộng, nhằm đạt năng suất cao hơn để tăng sản lượng nông nghiệp; phân biệt với quảng canh: thâm canh lúa nước",thâm canh lúa nước
thẩm định,động từ,"xem xét nhằm đánh giá để xác định, quyết định: thẩm định văn chương * hội đồng thẩm định tính khả thi của dự án",thẩm định văn chương * hội đồng thẩm định tính khả thi của dự án
thẩm cung,động từ,hỏi cung một cách kĩ càng: thẩm cung một bị can,thẩm cung một bị can
thâm cung,danh từ,"(cũ) cung của vua chúa, là nơi kín đáo, thâm nghiêm ít người được lui tới: chốn thâm cung",chốn thâm cung
thấm đẫm,động từ,thấm nhiều và đều khắp: chiếc khăn thấm đẫm nước mắt,chiếc khăn thấm đẫm nước mắt
thâm căn cố đế,,"đã ăn rất sâu, ảnh hưởng rất nặng nên khó có thể thay đổi: một thói tật đã thâm căn cố đế",một thói tật đã thâm căn cố đế
thâm độc,tính từ,độc ác một cách thâm hiểm: thủ đoạn thâm độc * bà dì ghẻ thâm độc,thủ đoạn thâm độc * bà dì ghẻ thâm độc
thấm đượm,động từ,"(văn chương) thấm rất sâu và như lan toả ra đều khắp, gợi nên những cảm giác, ấn tượng hết sức sâu sắc (thường dùng với nghĩa bóng): câu hát thấm đượm tình quê hương",câu hát thấm đượm tình quê hương
thấm đậm,động từ,mang đậm tính chất nào đó: không gian thấm đậm hương hoa sữa * cử chỉ thấm đậm nghĩa tình,không gian thấm đậm hương hoa sữa * cử chỉ thấm đậm nghĩa tình
thâm hụt,động từ,bị hụt đi do chi tiêu quá mức: thâm hụt ngân sách,thâm hụt ngân sách
thầm kín,tính từ,"sâu kín ở trong lòng, không bộc lộ ra ngoài: nỗi buồn thầm kín * mơ ước thầm kín",nỗi buồn thầm kín * mơ ước thầm kín
thâm hiểm,tính từ,"(lòng dạ) hiểm ác, sâu độc một cách khó lường: mưu mô thâm hiểm * con người thâm hiểm",mưu mô thâm hiểm * con người thâm hiểm
thẩm lậu,động từ,"(cũ) (hiện tượng chất lỏng) ngấm qua và rỉ ra, chảy đi nơi khác: đoạn đê bị thẩm lậu",đoạn đê bị thẩm lậu
thẩm lậu,động từ,"(khẩu ngữ) lọt qua trái phép từng ít một, rất khó kiểm soát: rượu ngoại thẩm lậu vào thị trường trong nước",rượu ngoại thẩm lậu vào thị trường trong nước
thầm lặng,tính từ,"âm thầm và lặng lẽ, ít ai biết đến: sự hi sinh thầm lặng * giúp đỡ một cách thầm lặng",sự hi sinh thầm lặng * giúp đỡ một cách thầm lặng
thầm lén,tính từ,"âm thầm và lén lút, không muốn cho người khác biết: thầm lén rủ nhau đi * yêu thầm lén",thầm lén rủ nhau đi * yêu thầm lén
thẩm mĩ,động từ,cảm thụ và hiểu biết về cái đẹp: óc thẩm mĩ * chức năng thẩm mĩ của văn học,óc thẩm mĩ * chức năng thẩm mĩ của văn học
thẩm mĩ,động từ,"(khẩu ngữ) chăm sóc, sửa sang làm cho cơ thể trở nên đẹp hơn bằng các biện pháp kĩ thuật đặc biệt: phẫu thuật thẩm mĩ * dịch vụ thẩm mĩ",phẫu thuật thẩm mĩ * dịch vụ thẩm mĩ
thẩm mĩ,danh từ,"cái đẹp, khả năng cảm thụ cái đẹp: quan niệm về thẩm mĩ * một công trình kiến trúc thiếu thẩm mĩ",quan niệm về thẩm mĩ * một công trình kiến trúc thiếu thẩm mĩ
thâm nghiêm,tính từ,"sâu kín và gợi vẻ uy nghiêm: ""Thâm nghiêm kín cổng cao tường, Cạn dòng lá thắm, dứt đường chim xanh."" (TKiều)","""Thâm nghiêm kín cổng cao tường, Cạn dòng lá thắm, dứt đường chim xanh."" (TKiều)"
thẩm mỹ viện,danh từ,như mĩ viện: đến thẩm mĩ viện để sửa sang sắc đẹp,đến thẩm mĩ viện để sửa sang sắc đẹp
thẩm mỹ,động từ,cảm thụ và hiểu biết về cái đẹp: óc thẩm mĩ * chức năng thẩm mĩ của văn học,óc thẩm mĩ * chức năng thẩm mĩ của văn học
thẩm mỹ,động từ,"(khẩu ngữ) chăm sóc, sửa sang làm cho cơ thể trở nên đẹp hơn bằng các biện pháp kĩ thuật đặc biệt: phẫu thuật thẩm mĩ * dịch vụ thẩm mĩ",phẫu thuật thẩm mĩ * dịch vụ thẩm mĩ
thẩm mỹ,danh từ,"cái đẹp, khả năng cảm thụ cái đẹp: quan niệm về thẩm mĩ * một công trình kiến trúc thiếu thẩm mĩ",quan niệm về thẩm mĩ * một công trình kiến trúc thiếu thẩm mĩ
thâm nhiễm,động từ,"bị nhiễm sâu, ăn sâu vào: thâm nhiễm thói xấu",thâm nhiễm thói xấu
thâm nhiễm,động từ,bị vi khuẩn hoặc tác nhân gây bệnh xâm nhập: bệnh thuộc thể thâm nhiễm,bệnh thuộc thể thâm nhiễm
thâm nhập,động từ,đi sâu vào và cùng hoà mình trong một môi trường hoạt động nào đó: nhà văn đi thâm nhập thực tế * thâm nhập thị trường,nhà văn đi thâm nhập thực tế * thâm nhập thị trường
thâm nhập,động từ,(yếu tố từ bên ngoài) ăn sâu vào và trở thành nhân tố tác động bên trong: vi trùng thâm nhập vào cơ thể qua đường hô hấp,vi trùng thâm nhập vào cơ thể qua đường hô hấp
thâm nhập,động từ,như truy cập: thâm nhập vào ổ đĩa để lấy dữ liệu,thâm nhập vào ổ đĩa để lấy dữ liệu
thâm niên,danh từ,"khoảng thời gian (tính bằng đơn vị năm) làm việc liên tục trong một cơ quan nhà nước trong một ngành, một nghề nào đó: có thâm niên hơn 40 năm trong nghề * hưởng tiền phụ cấp thâm niên",có thâm niên hơn 40 năm trong nghề * hưởng tiền phụ cấp thâm niên
thâm niên,tính từ,(cũ) lâu năm: lính thâm niên,lính thâm niên
thẩm mĩ viện,danh từ,như mĩ viện: đến thẩm mĩ viện để sửa sang sắc đẹp,đến thẩm mĩ viện để sửa sang sắc đẹp
thâm nho,danh từ,(cũ) nhà nho có tri thức sâu sắc: một vị thâm nho,một vị thâm nho
thâm nho,tính từ,"có kiến thức nho học sâu sắc, uyên thâm: ông cụ rất thâm nho, mẫn tuệ * viên quan thâm nho","ông cụ rất thâm nho, mẫn tuệ * viên quan thâm nho"
thâm nho,tính từ,(khẩu ngữ) như thâm (ng2): ý tứ rất thâm nho * lão ta thâm nho lắm!,ý tứ rất thâm nho * lão ta thâm nho lắm!
thấm nhuần,động từ,"(cũ, văn chương) thấm đẫm và đều khắp: ""Cảnh vật như thấm nhuần một nguồn sống mới mẻ. Mấy cây đa hai bên hồi đền vừa đổi lá."" (KLân; 3)","""Cảnh vật như thấm nhuần một nguồn sống mới mẻ. Mấy cây đa hai bên hồi đền vừa đổi lá."" (KLân; 3)"
thấm nhuần,động từ,"thấu hiểu điều gì một cách sâu sắc đến mức như có thể biến điều đó thành suy nghĩ, tư tưởng, hành động của mình một cách nhuần nhuyễn: thấm nhuần tư tưởng tiến bộ",thấm nhuần tư tưởng tiến bộ
thẩm quyền,danh từ,quyền xem xét để kết luận và định đoạt một vấn đề theo pháp luật: dự án đã trình lên cơ quan có thẩm quyền,dự án đã trình lên cơ quan có thẩm quyền
thẩm quyền,danh từ,"tư cách, quyền hạn về mặt chuyên môn được thừa nhận để có ý kiến có tính chất quyết định về một vấn đề nào đó: vấn đề này không thuộc thẩm quyền của cơ quan",vấn đề này không thuộc thẩm quyền của cơ quan
thâm quầng,tính từ,"(mắt) thâm lại thành quầng ở xung quanh, thường do thiếu ngủ: thức đêm nhiều nên hai mắt thâm quầng",thức đêm nhiều nên hai mắt thâm quầng
thậm tệ,tính từ,tệ tới mức không còn có thể hơn được nữa: bị bóc lột thậm tệ * mắng nhiếc một cách thậm tệ,bị bóc lột thậm tệ * mắng nhiếc một cách thậm tệ
thâm tâm,danh từ,nơi tâm tư sâu kín trong lòng (không bộc lộ ra ngoài): điều ấp ủ trong thâm tâm * thâm tâm hắn không có ý hại người,điều ấp ủ trong thâm tâm * thâm tâm hắn không có ý hại người
thậm thà thậm thụt,động từ,thậm thụt nhiều lần: bọn chúng thậm thà thậm thụt đi lại với nhau,bọn chúng thậm thà thậm thụt đi lại với nhau
thấm tháp,động từ,"(khẩu ngữ) có một tác dụng nào đó ở mức phải chăng, coi như chưa đủ đáp ứng nhu cầu: chừng ấy thì thấm tháp gì * nói đến thế mà vẫn không thấm tháp vào đâu",chừng ấy thì thấm tháp gì * nói đến thế mà vẫn không thấm tháp vào đâu
thầm thì,,như thì thầm: thầm thì to nhỏ,thầm thì to nhỏ
thấm thía,động từ,"có tác dụng thấm sâu vào tư tưởng, tình cảm: lời khuyên thấm thía * buồn thấm thía * càng nghĩ càng thấm thía",lời khuyên thấm thía * buồn thấm thía * càng nghĩ càng thấm thía
thấm thía,động từ,"(khẩu ngữ, hiếm) như thấm tháp: ngần này thì thấm thía gì!",ngần này thì thấm thía gì!
thẩm thấu,động từ,"(hiện tượng một chất, thường là dung môi) khuếch tán qua một màng mỏng ngăn cách dung môi nguyên chất với dung dịch hoặc ngăn cách hai dung dịch có nồng độ khác nhau, màng mỏng này chỉ cho dung môi thấm qua mà thôi: tính thẩm thấu của nước",tính thẩm thấu của nước
thẩm thấu,động từ,như thẩm lậu (ng2): hàng kém chất lượng thẩm thấu vào thị trường trong nước,hàng kém chất lượng thẩm thấu vào thị trường trong nước
thầm thĩ,,(hiếm) như thầm thì: những lời thầm thĩ yêu thương,những lời thầm thĩ yêu thương
thậm thịch,tính từ,"từ mô phỏng tiếng phát ra trầm, đều, liên tục, như tiếng bước chân nhiều người nện trên mặt đất: tiếng chày nện thậm thịch * tiếng chân bước thậm thịch trên nền đất",tiếng chày nện thậm thịch * tiếng chân bước thậm thịch trên nền đất
thâm thấp,tính từ,hơi thấp: dáng người thâm thấp,dáng người thâm thấp
thấm thoắt,tính từ,"(thời gian) qua đi một cách nhanh chóng đến mức không ngờ (bây giờ nhìn lại mới nhận ra): thời gian thấm thoắt trôi đi * từ đó đến nay, thấm thoắt đã ba năm","thời gian thấm thoắt trôi đi * từ đó đến nay, thấm thoắt đã ba năm"
thậm thọt,động từ,(khẩu ngữ) như thậm thụt: ra vào thậm thọt,ra vào thậm thọt
thâm thù,,căm thù sâu sắc: mối thâm thù * không có thâm thù gì với ai,mối thâm thù * không có thâm thù gì với ai
thâm thủng,động từ,(khẩu ngữ) như thâm hụt: thâm thủng ngân sách,thâm thủng ngân sách
thâm thuý,tính từ,"rất sâu sắc về tư tưởng, ý tứ: lời dạy thâm thuý * ý nghĩa thâm thuý của kinh truyện",lời dạy thâm thuý * ý nghĩa thâm thuý của kinh truyện
thậm thụt,động từ,"đi lại, ra vào nhiều lần một cách lén lút (thường để làm việc bất chính): thậm thụt đi lại với nhau * thậm thụt đi đêm về hôm",thậm thụt đi lại với nhau * thậm thụt đi đêm về hôm
thâm trầm,tính từ,"sâu sắc và kín đáo, không dễ dàng để tâm tư, tình cảm cũng như ý nghĩ bộc lộ ra bên ngoài: vẻ mặt thâm trầm * tính khí thâm trầm",vẻ mặt thâm trầm * tính khí thâm trầm
thâm u,tính từ,(khung cảnh) sâu tối và quạnh vắng: rừng đêm tịch mịch thâm u,rừng đêm tịch mịch thâm u
thẩm tra,động từ,"điều tra, xem xét lại xem có đúng, có chính xác như đã biết không: thẩm tra lí lịch * thẩm tra tờ khai",thẩm tra lí lịch * thẩm tra tờ khai
thâm tình,danh từ,tình cảm rất sâu đậm: mối thâm tình * cha con là chỗ thâm tình,mối thâm tình * cha con là chỗ thâm tình
thầm vụng,tính từ,"(hiếm) lén lút, vụng trộm: thương yêu thầm vụng * hai người đi lại thầm vụng với nhau",thương yêu thầm vụng * hai người đi lại thầm vụng với nhau
thẩm vấn,động từ,xét hỏi trong vụ án: hội đồng xét xử tiến hành thẩm vấn bị can,hội đồng xét xử tiến hành thẩm vấn bị can
thâm xịt,tính từ,"thâm đến mức xỉn lại thành màu đục, tối, trông xấu: đôi môi thâm xịt *  quả cà thâm xịt * nước da thâm xịt",đôi môi thâm xịt *  quả cà thâm xịt * nước da thâm xịt
thẩm xét,động từ,xem xét lại một cách kĩ càng trước khi đưa ra quyết định: thẩm xét danh sách khen thưởng * thẩm xét lại vụ án,thẩm xét danh sách khen thưởng * thẩm xét lại vụ án
thân,danh từ,"phần chính, nơi chứa đựng các cơ quan bên trong của cơ thể động vật, hoặc mang hoa lá của cơ thể thực vật: thân cây * thân người * sâu đục thân",thân cây * thân người * sâu đục thân
thân,danh từ,"cơ thể con người, về mặt là thể xác, thể lực, nói chung: đau toàn thân * tấm thân to lớn",đau toàn thân * tấm thân to lớn
thân,danh từ,"phần giữa và lớn hơn cả, thường là nơi để chứa đựng, hoặc mang nội dung chính: thân tàu làm bằng thép * phần thân bài * thân đê",thân tàu làm bằng thép * phần thân bài * thân đê
thân,danh từ,"bộ phận chính của áo, quần, được thiết kế theo kích thước nhất định: thân quần * thân áo",thân quần * thân áo
thân,danh từ,"cái cá nhân, cái riêng tư của mỗi người: chỉ biết lo cho thân mình * được sướng thân",chỉ biết lo cho thân mình * được sướng thân
thân,danh từ,"(thường viết hoa) kí hiệu thứ chín trong địa chi (lấy khỉ làm tượng trưng; sau mùi, trước dậu), dùng trong phép đếm thời gian cổ truyền của Trung Quốc và một số nước châu á, trong đó có Việt Nam: tuổi Thân (sinh vào một năm Thân)",tuổi Thân (sinh vào một năm Thân)
thân,tính từ,có quan hệ rất gần gũi và gắn bó mật thiết với nhau: hai người rất thân nhau * đôi bạn thân,hai người rất thân nhau * đôi bạn thân
thầm yêu trộm nhớ,,"yêu thầm kín trong lòng, không dám thổ lộ ra: được nhiều chàng trai thầm yêu trộm nhớ",được nhiều chàng trai thầm yêu trộm nhớ
thậm xưng,động từ,"(cũ) nói ngoa, thường nhằm mục đích hài hước: lối thậm xưng trong ca dao",lối thậm xưng trong ca dao
thận,danh từ,"bộ phận cơ thể động vật, hình hạt đậu, màu nâu đỏ, nằm ở hai bên cột sống, có chức năng lọc nước tiểu: bị sỏi thận",bị sỏi thận
thần,danh từ,"lực lượng siêu tự nhiên được tôn thờ (như thần tiên, thần thánh), coi là linh thiêng, có sức mạnh và phép lạ phi thường, có thể gây hoạ hoặc làm phúc cho người đời, theo quan niệm mê tín hoặc theo quan niệm của tôn giáo: lễ tế thần * thần thổ địa * thần cây đa, ma cây đề (tng)","lễ tế thần * thần thổ địa * thần cây đa, ma cây đề (tng)"
thần,tính từ,(vật) có phép lạ của thần: vị thuốc thần * chiếc đũa thần trong truyện cổ tích,vị thuốc thần * chiếc đũa thần trong truyện cổ tích
thần,danh từ,"cái yếu tố vô hình nhưng có vai trò chủ đạo, mang lại sức sống, tạo nên sức sống: bức tranh có thần * diễn viên đã thể hiện được cái thần của nhân vật",bức tranh có thần * diễn viên đã thể hiện được cái thần của nhân vật
thần,tính từ,đờ đẫn hẳn ra đến mức như không biết gì đến xung quanh nữa: mặt thần ra nghĩ ngợi,mặt thần ra nghĩ ngợi
thân ái,tính từ,có tình cảm yêu mến và gần gũi: gửi lời chào thân ái * sống thân ái với mọi người,gửi lời chào thân ái * sống thân ái với mọi người
thân cận,tính từ,gần gũi và thân thiết: chỗ thân cận * bạn bè thân cận,chỗ thân cận * bạn bè thân cận
thần bí hoá,động từ,làm cho trở nên thần bí: xu hướng thần bí hoá thơ ca,xu hướng thần bí hoá thơ ca
thâm ý,danh từ,"ý kín đáo, sâu xa, không nói ra: hiểu được thâm ý của người nói",hiểu được thâm ý của người nói
thần chết,danh từ,"(văn chương) vị thần chuyên đi bắt người hết thời hạn sống trở về cõi âm, theo thần thoại (thường được tưởng tượng là bộ xương cầm lưỡi hái): thoát khỏi bàn tay của thần chết",thoát khỏi bàn tay của thần chết
thần bí,tính từ,"thuộc về thần linh, có chứa đựng những điều không thể hiểu được, theo quan niệm duy tâm: thế giới thần bí * chuyện thần bí",thế giới thần bí * chuyện thần bí
thân chinh,động từ,(cũ) (vua) tự mình cầm quân ra mặt trận: nhà vua thân chinh đi đánh giặc,nhà vua thân chinh đi đánh giặc
thân chinh,tính từ,(trang trọng) (tự mình) trực tiếp đi làm một việc nào đó mà đáng lẽ có thể giao cho người dưới làm: bộ trưởng thân chinh đi kiểm tra,bộ trưởng thân chinh đi kiểm tra
thần chú,danh từ,"lời bí ẩn đọc lên để sai khiến quỷ thần, theo mê tín: niệm thần chú * đọc câu thần chú",niệm thần chú * đọc câu thần chú
thân chủ,danh từ,"khách hàng của những người làm nghề tự do, thường là của luật sư: luật sư bào chữa cho thân chủ",luật sư bào chữa cho thân chủ
thần dược,danh từ,"(hiếm) thuốc thần, thuốc tiên: bệnh ấy chỉ có thần dược mới chữa được",bệnh ấy chỉ có thần dược mới chữa được
thần đồng,danh từ,"đứa trẻ thông minh khác thường, có năng khiếu hết sức đặc biệt: thần đồng đất Việt * đứa trẻ thần đồng",thần đồng đất Việt * đứa trẻ thần đồng
thần diệu,tính từ,"có khả năng đưa lại hiệu quả tốt đẹp đến mức đáng kinh ngạc, giống như có phép thần: kế sách thần diệu * phương thuốc thần diệu",kế sách thần diệu * phương thuốc thần diệu
thân hành,tính từ,(tự mình) trực tiếp làm việc gì chứ không để hoặc không sai người dưới làm: được thủ tướng thân hành ra đón,được thủ tướng thân hành ra đón
thân hào,danh từ,(cũ) người có địa vị và thế lực trong xã hội cũ: các vị thân hào trong phủ,các vị thân hào trong phủ
thần hiệu,tính từ,"hiệu nghiệm một cách đặc biệt, giống như có phép thần: phương thuốc thần hiệu",phương thuốc thần hiệu
thân hình,danh từ,"hình dáng, thân thể con người (nói khái quát): thân hình vạm vỡ",thân hình vạm vỡ
thần kì,tính từ,"tài tình một cách kì lạ, tới mức như không thể tưởng tượng nổi: sức mạnh thần kì * câu chuyện thần kì",sức mạnh thần kì * câu chuyện thần kì
thần hôn,danh từ,"(cũ, văn chương) sớm tối; chỉ việc con cái chuyên cần thăm hỏi, chăm sóc cha mẹ: ""Rừng thu từng biếc xen hồng, Nghe chim như nhắc tấm lòng thần hôn."" (TKiều)","""Rừng thu từng biếc xen hồng, Nghe chim như nhắc tấm lòng thần hôn."" (TKiều)"
thần kinh,danh từ,"bộ máy của cơ thể động vật, có khả năng dẫn truyền kích thích và điều khiển các phản ứng đối với những kích thích đó, giúp động vật sống và hoạt động bình thường trong môi trường xung quanh: suy nhược thần kinh * thần kinh căng thẳng",suy nhược thần kinh * thần kinh căng thẳng
thần kinh,danh từ,(khẩu ngữ) như tâm thần (ng2): mắc chứng thần kinh,mắc chứng thần kinh
thần kỳ,tính từ,"tài tình một cách kì lạ, tới mức như không thể tưởng tượng nổi: sức mạnh thần kì * câu chuyện thần kì",sức mạnh thần kì * câu chuyện thần kì
thần hồn,danh từ,"phần hồn, phần tinh thần (thường nói ở trạng thái không bình thường): làm hỏng thì cứ liệu cái thần hồn! * thần hồn nát thần tính (tng)",làm hỏng thì cứ liệu cái thần hồn! * thần hồn nát thần tính (tng)
thân hữu,danh từ,(cũ) thân bằng cố hữu (nói tắt): tình thân hữu * bạn bè thân hữu,tình thân hữu * bạn bè thân hữu
thần linh,danh từ,"thần, lực lượng siêu tự nhiên (nói khái quát): cầu xin thần linh phù hộ",cầu xin thần linh phù hộ
thân mật,tính từ,có những biểu hiện tình cảm chân thành và thân thiết với nhau: chuyện trò thân mật * bữa cơm thân mật,chuyện trò thân mật * bữa cơm thân mật
thần lực,danh từ,(hiếm) sức mạnh thần kì: một tráng sĩ có thần lực,một tráng sĩ có thần lực
thân nghênh,động từ,"(cũ) đích thân ra nghênh đón: ""Kéo cờ luỹ, phát súng thành, Từ công lên ngựa thân nghênh cửa ngoài."" (TKiều)","""Kéo cờ luỹ, phát súng thành, Từ công lên ngựa thân nghênh cửa ngoài."" (TKiều)"
thân nhân,danh từ,"người thân, người nhà, thường là của người chết, người bệnh hoặc người bị tai nạn (nói khái quát): chia buồn với thân nhân của người đã khuất",chia buồn với thân nhân của người đã khuất
thân nhiệt,danh từ,nhiệt độ cơ thể của người và động vật: thân nhiệt cao,thân nhiệt cao
thân mến,tính từ,có quan hệ tình cảm gần gũi và quý mến: tình thân mến * bạn bè thân mến,tình thân mến * bạn bè thân mến
thân phận,danh từ,"địa vị xã hội thấp hèn hoặc cảnh ngộ không may mà con người không sao thoát khỏi được, do số phận định đoạt (theo quan niệm duy tâm): thân phận nữ nhi * thương cho thân phận mình",thân phận nữ nhi * thương cho thân phận mình
thân pháp,danh từ,"cách vận động, di chuyển thân thể (trong các môn võ nghệ): thân pháp nhanh nhẹn, biến hoá","thân pháp nhanh nhẹn, biến hoá"
thân quen,,quen thuộc và thân thiết: bạn bè thân quen,bạn bè thân quen
thần phục,động từ,(cũ) chịu phục tùng và tự nhận làm bề tôi của vua hoặc chư hầu của nước lớn: tướng giặc đã chịu thần phục,tướng giặc đã chịu thần phục
thân sĩ,danh từ,(cũ) người có học thức thuộc tầng lớp trên trong xã hội cũ: thân sĩ yêu nước,thân sĩ yêu nước
thân sinh,,(trang trọng) (người) sinh ra ai đó: ông thân sinh * thân sinh của anh là một nhà nho,ông thân sinh * thân sinh của anh là một nhà nho
thân quyến,danh từ,"(cũ) bà con họ hàng thân thiết, nói chung: thân quyến người bị nạn * bà con thân quyến",thân quyến người bị nạn * bà con thân quyến
thần sắc,danh từ,"sắc mặt, biểu hiện trạng thái sức khoẻ hoặc tinh thần của con người: thần sắc nhợt nhạt * sợ mất cả thần sắc",thần sắc nhợt nhạt * sợ mất cả thần sắc
thần tài,danh từ,"thần phù hộ cho việc làm ăn buôn bán thuận lợi, phát tài, theo quan niệm dân gian: thờ thần tài",thờ thần tài
thân sơ,tính từ,thân và sơ (nói khái quát): bạn bè thân sơ,bạn bè thân sơ
thần thái,danh từ,"những biểu hiện bên ngoài như vẻ mặt, dáng đi, điệu bộ, cử chỉ của con người (nói tổng quát): thần thái mệt mỏi",thần thái mệt mỏi
thần thánh,danh từ,"(cũng thánh thần) thần và thánh, chỉ những lực lượng siêu tự nhiên, linh thiêng (nói khái quát): không tin vào thần thánh, ma quỷ","không tin vào thần thánh, ma quỷ"
thần thánh,tính từ,có tính chất thiêng liêng và vĩ đại: cuộc kháng chiến thần thánh,cuộc kháng chiến thần thánh
thân thế,danh từ,cuộc đời của một người (thường là người có danh tiếng): thân thế và sự nghiệp của nhà văn,thân thế và sự nghiệp của nhà văn
thần thế,"danh từ, tính từ","chỗ dựa mạnh, có quyền uy và thế lực: cậy thần thế mà kiêu ngạo * một gia đình giàu có và thần thế",cậy thần thế mà kiêu ngạo * một gia đình giàu có và thần thế
thần thánh hoá,động từ,làm cho trở nên có tính chất thần thánh: thần thánh hoá vị tướng chỉ huy,thần thánh hoá vị tướng chỉ huy
thần thoại,danh từ,"truyện kể dân gian về các vị thần hoặc các nhân vật anh hùng đã được thần thánh hoá, phản ánh những quan niệm ngây thơ của con người thời xa xưa về các hiện tượng tự nhiên và khát vọng trong đấu tranh chinh phục thiên nhiên: truyện thần thoại Hi Lạp",truyện thần thoại Hi Lạp
thân thiện,tính từ,có biểu hiện tỏ ra tử tế và có thiện cảm với nhau: nụ cười thân thiện * quan hệ thân thiện giữa hai nước,nụ cười thân thiện * quan hệ thân thiện giữa hai nước
